start
861045,46.80,6561.00,6017.00,8097.00,6748.00,142.00,6931.00,8314.00,7001.00,46.61,46.53,46.35,93.22,4.04,4.09,4.40,0.83,5.97
871047,47.00,6553.00,5905.00,8041.00,6674.00,81.00,6850.00,8251.00,6818.00,47.15,47.11,47.15,93.67,4.01,4.01,4.00,0.81,5.93
881048,47.20,6596.00,5861.00,8045.00,6690.00,29.00,6840.00,8249.00,6721.00,47.73,47.63,47.48,93.37,3.93,3.92,3.94,0.82,5.91
891047,47.40,6654.00,5898.00,8072.00,6700.00,108.00,6860.00,8221.00,6607.00,47.65,48.08,47.85,93.67,3.93,3.86,3.90,0.81,5.89
901049,47.60,6575.00,5910.00,8115.00,6744.00,137.00,6892.00,8232.00,6722.00,42.84,47.89,48.00,93.90,3.95,3.88,3.87,0.81,5.87
911046,47.80,6517.00,5702.00,8012.00,6698.00,139.00,6818.00,8224.00,6590.00,48.52,47.87,48.62,93.90,3.80,3.89,3.78,0.81,5.84
921045,48.00,6552.00,5686.00,8042.00,6648.00,33.00,6758.00,8098.00,6477.00,48.31,48.04,48.73,93.90,3.83,3.87,3.77,0.80,5.82
931047,48.20,6580.00,5740.00,8077.00,6714.00,71.00,6762.00,8102.00,6312.00,48.65,48.71,48.65,94.14,3.78,3.77,3.78,0.80,5.79
941049,48.40,6539.00,5622.00,8040.00,6688.00,133.00,6800.00,8125.00,6358.00,50.13,48.88,48.81,94.60,3.57,3.75,3.75,0.78,5.77
951047,48.60,6441.00,5498.00,7996.00,6693.00,71.00,6754.00,8038.00,6297.00,49.13,49.13,49.37,94.68,3.71,3.69,3.29,0.79,5.73
961049,48.80,6537.00,5519.00,8003.00,6647.00,46.00,6617.00,7990.00,6148.00,49.09,48.48,48.29,94.68,3.71,3.81,3.83,0.78,5.71
971051,49.00,6550.00,5528.00,8093.00,6699.00,97.00,6615.00,7900.00,6039.00,49.01,49.11,49.22,94.76,3.73,3.71,3.70,0.78,5.70
981052,49.20,6500.00,5464.00,8017.00,6691.00,121.00,6667.00,7981.00,6076.00,49.60,49.73,49.80,95.16,3.66,3.63,3.62,0.77,5.65
991050,49.40,6435.00,5381.00,7993.00,6655.00,98.00,6650.00,7968.00,6029.00,49.22,49.65,49.45,95.16,3.70,3.63,3.66,0.77,5.63
1001055,49.60,6486.00,5330.00,7983.00,6588.00,43.00,6539.00,7813.00,5836.00,49.60,49.82,49.48,95.40,3.65,3.61,3.66,0.77,5.62
1011055,49.80,6484.00,5354.00,8022.00,6655.00,72.00,6577.00,7804.00,5754.00,49.86,49.82,49.56,95.40,3.60,3.61,3.65,0.77,5.59
1021055,50.00,6405.00,5314.00,8039.00,6630.00,72.00,6504.00,7737.00,5647.00,50.15,50.10,50.02,95.40,3.56,3.57,3.59,0.77,5.58
